ipaddress,dateandtime,url,statuscode,bytessent,refferer,useragent,v1,v2,monitoring,hole,ipaddress_input,v3,v4,v5,v6
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/annotations?from=1619471716848&to=1619472016848&dashboardId=25 ,200,2,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",69,0.003,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,2,0.004,200,f9f97c8e584ae95d1ba146c23986fc43
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=probe_http_status_code%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30 ,200,210,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",122,0.005,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,210,0.004,200,44c9187cea7c494023149a233d12c5e0
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=probe_ssl_earliest_cert_expiry%7Btarget%3D~%22()%22%7D-time()&start=1619471700&end=1619472000&step=30 ,200,212,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",134,0.007,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,212,0.004,200,6742af5538ad6e0afd63939efe6cb153
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=probe_http_ssl%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30 ,200,204,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",117,0.008,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,204,0.008,200,614fe71437aa6936fb2d1490f7d15a7b
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=probe_success%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30 ,200,201,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",116,0.008,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,201,0.012,200,4503c9cfe2fac12a09cb27d871d26d0d
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=avg(probe_duration_seconds%7Btarget%3D~%22()%22%7D)&start=1619471700&end=1619472000&step=30 ,200,225,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",127,0.004,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,225,0.004,200,99e582f5cb5d03d7a9154211b92852b3
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=avg(probe_dns_lookup_time_seconds%7Btarget%3D~%22()%22%7D)&start=1619471700&end=1619472000&step=30 ,200,209,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",132,0.006,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,209,0.008,200,9c4d3fa45151960abe70ee269b9e4f96
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=probe_duration_seconds%20and%20probe_success%20%3D%3D%201&start=1619471700&end=1619472000&step=30 ,200,288,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",128,0.004,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,288,0.004,200,48d1481a7ca3ff1c934f31e25535bea3
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%5B5s%5D)&start=1619471700&end=1619472000&step=30 ,200,87,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",115,0.003,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,87,0.004,200,a23af5d7ef9420ef62c459e138c94f71
162.55.33.98,26/Apr/2021:21:20:17 +0000,/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%7Btarget%3D~%22()%22%7D%5B5s%5D)&start=1619471700&end=1619472000&step=30 ,200,87,"""https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",134,0.003,monitoring-monitoring-prometheus-grafana-80,,192.168.226.102:3000,87,0.004,200,9450cf0e585bd9961f2a979e57fb1dab
